,RAW_station,MONTH,CRUISE_MO,DAY,YEAR,TRANSECT,NM_SHORE,STATION,LATITUDE,LONGITUDE,DEPTH_M,nanchov,psardine,pherring,seanett
1,062102NH20,6,6,21,2002,NH,20,NH20,44.67,-124.52,128,9.89,168.13,0,0
2,062205NH20,6,6,22,2005,NH,20,NH20,44.67,-124.52,128,11.19,0,0,0
3,062399NH20,6,6,23,1999,NH,20,NH20,44.67,-124.52,128,0,0,0,0
4,062711NH20,6,6,27,2011,NH,20,NH20,44.67,-124.52,128,0,0,0,0
5,062806NH20,6,6,28,2006,NH,20,NH20,44.67,-124.52,128,0,0,0,0
6,062807NH20,6,6,28,2007,NH,20,NH20,44.67,-124.52,128,0,0,0,0
7,062810NH20,6,6,28,2010,NH,20,NH20,44.67,-124.52,128,0,0,0,8.99
8,062904NH20,6,6,29,2004,NH,20,NH20,44.67,-124.52,128,25660.06,545.96,0,0
9,062908NH20,6,6,29,2008,NH,20,NH20,44.67,-124.52,128,0,0,0,0
10,063009NH20,6,6,30,2009,NH,20,NH20,44.67,-124.52,128,0,0,0,0
11,062499CF01,6,6,24,1999,CF,1,CF1,45.73,-123.97,27.4,0,0,0,109.4
12,061900CM01,6,6,19,2000,CM,1,CM1,45.48,-124,29.3,0,0,0,179.61
13,062199CM01,6,6,21,1999,CM,1,CM1,45.48,-124,29.3,0,0,0,0
14,062302CM01,6,6,23,2002,CM,1,CM1,45.48,-124,29.3,0,0,0,101.73
15,062606CM01,6,6,26,2006,CM,1,CM1,45.48,-124,29.3,11.64,0,0,93.15
16,062611CM01,6,6,26,2011,CM,1,CM1,45.48,-124,29.3,54.81,0,0,9.14
17,062704CM01,6,6,27,2004,CM,1,CM1,45.48,-124,29.3,0,571.67,199.22,2425.25
18,062707CM01,6,6,27,2007,CM,1,CM1,45.48,-124,29.3,0,0,0,676.24
19,062710CM01,6,6,27,2010,CM,1,CM1,45.48,-124,29.3,0,0,0,72.19
20,062808CM01,6,6,28,2008,CM,1,CM1,45.48,-124,29.3,0,51.35,25.67,35838.97
21,062901CM01,6,6,29,2001,CM,1,CM1,45.48,-124,29.3,0,0,30.44,0
22,062909CM01,6,6,29,2009,CM,1,CM1,45.48,-124,29.3,0,0,0,322.66
23,063003CM01,6,6,30,2003,CM,1,CM1,45.48,-124,29.3,0,0,50.41,134.43
24,062198CF03,6,6,21,1998,CF,3,CF3,45.73,-124.02,54.9,0,0,0,0
25,062499CF03,6,6,24,1999,CF,3,CF3,45.73,-124.02,54.9,0,0,0,0
26,062105CH01,6,6,21,2005,CH,1,CH1,45.05,-124.03,29.3,118.59,59.3,11.86,47.44
27,062202CH01,6,6,22,2002,CH,1,CH1,45.05,-124.03,29.3,0,0,22.46,89.83
28,062298CH01,6,6,22,1998,CH,1,CH1,45.05,-124.03,29.3,27.93,102.4,9504.52,0
29,062299CH01,6,6,22,1999,CH,1,CH1,45.05,-124.03,29.3,50.41,0,0,10.08
30,062706CH01,6,6,27,2006,CH,1,CH1,45.05,-124.03,29.3,0,0,0,2332.95
31,062804CH01,6,6,28,2004,CH,1,CH1,45.05,-124.03,29.3,0,25084.38,17968.97,2535.08
32,063001CH01,6,6,30,2001,CH,1,CH1,45.05,-124.03,29.3,0,80.17,35.63,9647.11
33,061900CM03,6,6,19,2000,CM,3,CM3,45.48,-124.03,54.9,0,0,0,85.89
34,062198CM03,6,6,21,1998,CM,3,CM3,45.48,-124.03,54.9,0,0,11.09,0
35,062199CM03,6,6,21,1999,CM,3,CM3,45.48,-124.03,54.9,0,0,0,0
36,062302CM03,6,6,23,2002,CM,3,CM3,45.48,-124.03,54.9,0,0,0,26.93
37,062606CM03,6,6,26,2006,CM,3,CM3,45.48,-124.03,54.9,0,0,0,39.29
38,062611CM03,6,6,26,2011,CM,3,CM3,45.48,-124.03,54.9,8.17,0,0,0
